GISJOIN,year,month,dayl,srad,tmax,tmin,vap_pres,prcp,CTY_NAME,State,Region,Division
G01087,2015,Jan,36477.48387,273.3419355,14.22580645,0.451612903,658.0645161,89,Macon,Alabama,South Region,East South Central Division
G01089,2015,Jan,35853.22581,253.9354839,9.129032258,-2.274193548,539.3548387,102,Madison,Alabama,South Region,East South Central Division
G01091,2015,Jan,36533.19355,271.483871,13.25806452,0.193548387,646.4516129,123,Marengo,Alabama,South Region,East South Central Division
G01093,2015,Jan,36009.25806,260.1290323,10.41935484,-2.322580645,538.0645161,129,Marion,Alabama,South Region,East South Central Division
G01095,2015,Jan,35964.64516,251.3548387,9.532258065,-0.967741935,594.8387097,95,Marshall,Alabama,South Region,East South Central Division
G01097,2015,Jan,36901.16129,283.3548387,15.22580645,2.532258065,761.2903226,136,Mobile,Alabama,South Region,East South Central Division
G01099,2015,Jan,36700.45161,277.1612903,14.75806452,1.483870968,710.9677419,107,Monroe,Alabama,South Region,East South Central Division
G01101,2015,Jan,36533.19355,277.5741935,14.72580645,1.209677419,699.3548387,80,Montgomery,Alabama,South Region,East South Central Division
G01103,2015,Jan,35920.06452,253.4193548,9.516129032,-1.612903226,563.8709677,112,Morgan,Alabama,South Region,East South Central Division
G01105,2015,Jan,36421.77419,270.6580645,12.96774194,0.064516129,642.5806452,133,Perry,Alabama,South Region,East South Central Division
G01107,2015,Jan,36254.58065,263.7419355,12.12903226,-0.661290323,606.4516129,158,Pickens,Alabama,South Region,East South Central Division
G01109,2015,Jan,36644.67742,279.2258065,14.58064516,1.467741935,712.2580645,79,Pike,Alabama,South Region,East South Central Division
G01111,2015,Jan,36243.41935,269.7290323,11.61290323,-1.322580645,578.0645161,110,Randolph,Alabama,South Region,East South Central Division
G01113,2015,Jan,36522.06452,275.9225806,14.35483871,0.161290323,646.4516129,96,Russell,Alabama,South Region,East South Central Division
G01115,2015,Jan,36131.90323,263.9483871,10.85483871,-1.032258065,590.9677419,128,St. Clair,Alabama,South Region,East South Central Division
G01117,2015,Jan,36254.58065,266.5290323,12.20967742,-0.016129032,638.7096774,89,Shelby,Alabama,South Region,East South Central Division
G01119,2015,Jan,36432.90323,267.3548387,12.79032258,-0.064516129,632.2580645,147,Sumter,Alabama,South Region,East South Central Division
G01121,2015,Jan,36243.41935,262.8129032,12.03225806,-0.661290323,611.6129032,168,Talladega,Alabama,South Region,East South Central Division
G01123,2015,Jan,36354.90323,272.1032258,13.11290323,-0.258064516,625.8064516,115,Tallapoosa,Alabama,South Region,East South Central Division
G01125,2015,Jan,36243.41935,264.1548387,12.24193548,-0.322580645,619.3548387,162,Tuscaloosa,Alabama,South Region,East South Central Division
G01127,2015,Jan,36109.6129,256.4129032,11.11290323,-1.129032258,588.3870968,120,Walker,Alabama,South Region,East South Central Division
G01129,2015,Jan,36722.74194,276.0258065,14.72580645,1.483870968,712.2580645,129,Washington,Alabama,South Region,East South Central Division
G01131,2015,Jan,36588.93548,276.0258065,13.91935484,0.709677419,676.1290323,118,Wilcox,Alabama,South Region,East South Central Division
G01133,2015,Jan,36009.25806,258.8903226,10.08064516,-1.903225806,557.4193548,120,Winston,Alabama,South Region,East South Central Division
G02013,2015,Jan,27090.58065,90.42580645,-2.048387097,-8.790322581,356.1290323,89,Aleutians East,Alaska,West Region,Pacific Division
G02016,2015,Jan,28707.09677,113.5483871,-6.483870968,-16.20967742,237.4193548,11,Aleutians West,Alaska,West Region,Pacific Division
G02020,2015,Jan,22118.41935,22.09032258,-1.661290323,-7.709677419,371.6129032,64,Anchorage,Alaska,West Region,Pacific Division
G02050,2015,Jan,22341.41935,30.86451613,-8.435483871,-14.75806452,236.1290323,16,Bethel,Alaska,West Region,Pacific Division
G02060,2015,Jan,24459.58065,44.59354839,-2.016129032,-9.758064516,356.1290323,6,Bristol Bay,Alaska,West Region,Pacific Division
G02068,2015,Jan,18907.67742,16.10322581,-11.41935484,-19.35483871,170.3225806,9,Denali,Alaska,West Region,Pacific Division
G02070,2015,Jan,23523.09677,34.16774194,-4.758064516,-11.29032258,305.8064516,10,Dillingham,Alaska,West Region,Pacific Division
G02090,2015,Jan,16923.25806,8.258064516,-14.46774194,-22.37096774,138.0645161,16,Fairbanks North Star,Alaska,West Region,Pacific Division
G02100,2015,Jan,24158.54839,35.71612903,-7.387096774,-10.59677419,325.1612903,354,Haines,Alaska,West Region,Pacific Division
G02110,2015,Jan,24704.83871,32.82580645,-0.209677419,-4.612903226,473.5483871,494,Juneau,Alaska,West Region,Pacific Division
G02164,2015,Jan,24571,44.59354839,-1.096774194,-8.532258065,378.0645161,34,Lake and Peninsula,Alaska,West Region,Pacific Division
G02170,2015,Jan,20747.16129,26.63225806,-5.241935484,-12.88709677,258.0645161,42,Matanuska-Susitna,Alaska,West Region,Pacific Division
G02180,2015,Jan,16834.03226,8.258064516,-11.17741935,-18.64516129,176.7741935,6,Nome,Alaska,West Region,Pacific Division
G02185,2015,Jan,4336.741935,0.309677419,-18.32258065,-26.74193548,77.41935484,0,North Slope,Alaska,West Region,Pacific Division
G02188,2015,Jan,11181.80645,2.064516129,-14.22580645,-22.06451613,140.6451613,12,Northwest Arctic,Alaska,West Region,Pacific Division
G02195,2015,Jan,26053.77419,35.81935484,4.919354839,0.935483871,676.1290323,488,Petersburg,Alaska,West Region,Pacific Division
G02198,2015,Jan,27023.70968,44.90322581,6.741935484,2.693548387,761.2903226,361,Prince of Wales-Hyder,Alaska,West Region,Pacific Division
G02220,2015,Jan,25752.77419,31.07096774,3.306451613,0.161290323,641.2903226,471,Sitka,Alaska,West Region,Pacific Division
G02230,2015,Jan,23746.06452,23.53548387,0.677419355,-3.983870968,492.9032258,150,Skagway,Alaska,West Region,Pacific Division
G02240,2015,Jan,18584.35484,15.69032258,-18.77419355,-27.12903226,94.19354839,15,Southeast Fairbanks,Alaska,West Region,Pacific Division
G02261,2015,Jan,21650.16129,25.70322581,-9.241935484,-17.01612903,190.9677419,58,Valdez-Cordova,Alaska,West Region,Pacific Division
G02270,2015,Jan,20959,21.16129032,-8.629032258,-15.03225806,223.2258065,6,Wade Hampton,Alaska,West Region,Pacific Division
G02275,2015,Jan,26388.22581,37.57419355,5.032258065,1.14516129,686.4516129,443,Wrangell,Alaska,West Region,Pacific Division
G02282,2015,Jan,23422.80645,34.68387097,0.725806452,-5.435483871,425.8064516,341,Yakutat,Alaska,West Region,Pacific Division
G02290,2015,Jan,15596.58065,6.709677419,-17.03225806,-24.35483871,121.2903226,8,Yukon-Koyukuk,Alaska,West Region,Pacific Division
G04001,2015,Jan,35674.93548,278.6064516,9.080645161,-4.951612903,438.7096774,55,Apache,Arizona,West Region,Mountain Division
G04003,2015,Jan,36622.3871,309.2645161,16.43548387,-0.903225806,432.2580645,43,Cochise,Arizona,West Region,Mountain Division
G04005,2015,Jan,35530,286.9677419,7.096774194,-3.838709677,472.2580645,48,Coconino,Arizona,West Region,Mountain Division
G04007,2015,Jan,36109.6129,276.4387097,14.61290323,1.048387097,681.2903226,52,Gila,Arizona,West Region,Mountain Division
G04009,2015,Jan,36343.77419,274.683871,15.56451613,2.322580645,585.8064516,40,Graham,Arizona,West Region,Mountain Division
G04011,2015,Jan,36288.03226,297.4967742,12.79032258,-0.741935484,558.7096774,66,Greenlee,Arizona,West Region,Mountain Division
G04012,2015,Jan,36131.90323,272.1032258,19.82258065,5.870967742,401.2903226,18,La Paz,Arizona,West Region,Mountain Division
G04013,2015,Jan,36243.41935,269.2129032,20.59677419,6.887096774,621.9354839,23,Maricopa,Arizona,West Region,Mountain Division
G04015,2015,Jan,35563.45161,252.283871,12,0.564516129,597.4193548,42,Mohave,Arizona,West Region,Mountain Division
G04017,2015,Jan,35674.93548,283.2516129,9.258064516,-4.612903226,434.8387097,49,Navajo,Arizona,West Region,Mountain Division
G04019,2015,Jan,36577.77419,285.0064516,16.67741935,4.032258065,800,85,Pima,Arizona,West Region,Mountain Division
G04021,2015,Jan,36343.77419,271.1741935,18.87096774,4.758064516,802.5806452,59,Pinal,Arizona,West Region,Mountain Division
G04023,2015,Jan,36700.45161,296.9806452,17.69354839,1.516129032,570.3225806,66,Santa Cruz,Arizona,West Region,Mountain Division
G04025,2015,Jan,35875.48387,264.9806452,11.74193548,-2.306451613,521.2903226,55,Yavapai,Arizona,West Region,Mountain Division
G04027,2015,Jan,36388.32258,274.8903226,21.38709677,6.806451613,510.9677419,39,Yuma,Arizona,West Region,Mountain Division
G05001,2015,Jan,35964.64516,251.4580645,9.790322581,-0.951612903,588.3870968,95,Arkansas,Arkansas,South Region,West South Central Division
G05003,2015,Jan,36288.03226,262.1935484,11.38709677,-0.677419355,601.2903226,158,Ashley,Arkansas,South Region,West South Central Division
G05005,2015,Jan,35407.32258,253.5225806,7.806451613,-4.096774194,478.7096774,90,Baxter,Arkansas,South Region,West South Central Division
G05007,2015,Jan,35385.03226,260.8516129,8,-4.241935484,473.5483871,23,Benton,Arkansas,South Region,West South Central Division
G05009,2015,Jan,35407.32258,254.3483871,7.532258065,-4.193548387,480,53,Boone,Arkansas,South Region,West South Central Division
G05011,2015,Jan,36187.67742,259.2,11.16129032,-1.209677419,572.9032258,150,Bradley,Arkansas,South Region,West South Central Division
G05013,2015,Jan,36165.35484,260.7483871,11.20967742,-1.838709677,550.9677419,145,Calhoun,Arkansas,South Region,West South Central Division
G05015,2015,Jan,35385.03226,255.8967742,7.677419355,-3.919354839,486.4516129,54,Carroll,Arkansas,South Region,West South Central Division
G05017,2015,Jan,36254.58065,259.5096774,11.16129032,-0.129032258,624.516129,148,Chicot,Arkansas,South Region,West South Central Division
G05019,2015,Jan,36042.70968,257.5483871,10.93548387,-2.35483871,527.7419355,90,Clark,Arkansas,South Region,West South Central Division
G05021,2015,Jan,35385.03226,241.0322581,7.209677419,-3.532258065,489.0322581,83,Clay,Arkansas,South Region,West South Central Division
G05023,2015,Jan,35608.03226,281.083871,8.806451613,-3.629032258,487.7419355,140,Cleburne,Arkansas,South Region,West South Central Division
G05025,2015,Jan,36076.16129,258.8903226,10.74193548,-1.5,561.2903226,167,Cleveland,Arkansas,South Region,West South Central Division
G05027,2015,Jan,36288.03226,260.8516129,11.91935484,-1.709677419,554.8387097,164,Columbia,Arkansas,South Region,West South Central Division
G05029,2015,Jan,35697.19355,258.0645161,9.661290323,-3.338709677,498.0645161,138,Conway,Arkansas,South Region,West South Central Division
G05031,2015,Jan,35530,248.3612903,7.677419355,-2.790322581,518.7096774,48,Craighead,Arkansas,South Region,West South Central Division
G05033,2015,Jan,35608.03226,268.283871,8.951612903,-3.258064516,501.9354839,54,Crawford,Arkansas,South Region,West South Central Division
G05035,2015,Jan,35697.19355,251.1483871,8.870967742,-1.806451613,558.7096774,41,Crittenden,Arkansas,South Region,West South Central Division
G05037,2015,Jan,35697.19355,247.7419355,8.225806452,-2.258064516,538.0645161,58,Cross,Arkansas,South Region,West South Central Division
G05039,2015,Jan,36065,258.1677419,10.74193548,-2.225806452,532.9032258,116,Dallas,Arkansas,South Region,West South Central Division
G05041,2015,Jan,36076.16129,255.8967742,10.40322581,-0.419354839,611.6129032,94,Desha,Arkansas,South Region,West South Central Division
G05043,2015,Jan,36154.22581,259.9225806,10.75806452,-0.677419355,598.7096774,135,Drew,Arkansas,South Region,West South Central Division
G05045,2015,Jan,35730.6129,253.1096774,9.64516129,-3.225806452,503.2258065,83,Faulkner,Arkansas,South Region,West South Central Division
G05047,2015,Jan,35630.32258,253.6258065,9.177419355,-3.161290323,508.3870968,71,Franklin,Arkansas,South Region,West South Central Division
G05049,2015,Jan,35385.03226,246.4,7.451612903,-4.741935484,456.7741935,101,Fulton,Arkansas,South Region,West South Central Division
G05051,2015,Jan,35875.48387,248.6709677,10.38709677,-2.387096774,526.4516129,78,Garland,Arkansas,South Region,West South Central Division
G05053,2015,Jan,35964.64516,257.8580645,10.5483871,-1.983870968,544.516129,74,Grant,Arkansas,South Region,West South Central Division
G05055,2015,Jan,35440.80645,248.1548387,7.306451613,-3.403225806,496.7741935,66,Greene,Arkansas,South Region,West South Central Division
G05057,2015,Jan,36131.90323,260.2322581,11.32258065,-2,541.9354839,108,Hempstead,Arkansas,South Region,West South Central Division
G05059,2015,Jan,35964.64516,256.8258065,10.75806452,-2.193548387,539.3548387,72,Hot Spring,Arkansas,South Region,West South Central Division
G05061,2015,Jan,36042.70968,254.9677419,11.11290323,-2.290322581,532.9032258,107,Howard,Arkansas,South Region,West South Central Division
G05063,2015,Jan,35563.45161,249.3935484,8.274193548,-3.467741935,496.7741935,99,Independence,Arkansas,South Region,West South Central Division
G05065,2015,Jan,35463.09677,249.8064516,7.919354839,-4.596774194,456.7741935,104,Izard,Arkansas,South Region,West South Central Division
G05067,2015,Jan,35608.03226,247.7419355,8.080645161,-2.612903226,520,70,Jackson,Arkansas,South Region,West South Central Division
G05069,2015,Jan,35964.64516,254.3483871,10.29032258,-1.209677419,579.3548387,97,Jefferson,Arkansas,South Region,West South Central Division
G05071,2015,Jan,35608.03226,256.9290323,8.661290323,-2.951612903,517.4193548,103,Johnson,Arkansas,South Region,West South Central Division
G05073,2015,Jan,36254.58065,261.3677419,12.0483871,-1.161290323,579.3548387,136,Lafayette,Arkansas,South Region,West South Central Division
G05075,2015,Jan,35474.22581,248.8774194,7.758064516,-3.516129032,491.6129032,96,Lawrence,Arkansas,South Region,West South Central Division
G05077,2015,Jan,35808.6129,249.3935484,8.919354839,-1.629032258,562.5806452,56,Lee,Arkansas,South Region,West South Central Division
G05079,2015,Jan,36065,256.1032258,10.53225806,-0.725806452,594.8387097,113,Lincoln,Arkansas,South Region,West South Central Division
G05081,2015,Jan,36131.90323,254.8645161,11.72580645,-1.403225806,565.1612903,121,Little River,Arkansas,South Region,West South Central Division
G05083,2015,Jan,35697.19355,258.2709677,9.435483871,-3.14516129,504.516129,86,Logan,Arkansas,South Region,West South Central Division
G05085,2015,Jan,35853.22581,250.0129032,9.612903226,-1.790322581,558.7096774,64,Lonoke,Arkansas,South Region,West South Central Division
G05087,2015,Jan,35474.22581,250.8387097,7.5,-3.838709677,489.0322581,43,Madison,Arkansas,South Region,West South Central Division
G05089,2015,Jan,35418.48387,249.083871,8.048387097,-3.967741935,483.8709677,71,Marion,Arkansas,South Region,West South Central Division
G05091,2015,Jan,36243.41935,258.9935484,11.82258065,-0.85483871,589.6774194,118,Miller,Arkansas,South Region,West South Central Division
G05093,2015,Jan,35530,245.883871,7.919354839,-2.370967742,535.483871,44,Mississippi,Arkansas,South Region,West South Central Division
G05095,2015,Jan,35853.22581,249.4967742,9.032258065,-1.532258065,563.8709677,73,Monroe,Arkansas,South Region,West South Central Division
G05097,2015,Jan,35897.77419,256.4129032,9.983870968,-2.580645161,521.2903226,129,Montgomery,Arkansas,South Region,West South Central Division
G05099,2015,Jan,36143.06452,261.1612903,11.33870968,-2.274193548,529.0322581,120,Nevada,Arkansas,South Region,West South Central Division
G05101,2015,Jan,35496.51613,250.6322581,7.064516129,-3.903225806,490.3225806,70,Newton,Arkansas,South Region,West South Central Division
G05103,2015,Jan,36154.22581,263.0193548,11.29032258,-2.193548387,532.9032258,116,Ouachita,Arkansas,South Region,West South Central Division
G05105,2015,Jan,35786.35484,251.6645161,10.35483871,-2.548387097,525.1612903,104,Perry,Arkansas,South Region,West South Central Division
G05107,2015,Jan,35953.48387,248.5677419,9.403225806,-1.193548387,580.6451613,70,Phillips,Arkansas,South Region,West South Central Division
G05109,2015,Jan,36009.25806,264.9806452,10.22580645,-2.629032258,521.2903226,137,Pike,Arkansas,South Region,West South Central Division
G05111,2015,Jan,35608.03226,244.3354839,8,-2.338709677,535.483871,49,Poinsett,Arkansas,South Region,West South Central Division
G05113,2015,Jan,35920.06452,257.1354839,7.903225806,-3.548387097,490.3225806,133,Polk,Arkansas,South Region,West South Central Division
G05115,2015,Jan,35652.6129,257.7548387,9.5,-3.064516129,510.9677419,102,Pope,Arkansas,South Region,West South Central Division
G05117,2015,Jan,35808.6129,247.4322581,9.112903226,-1.887096774,553.5483871,81,Prairie,Arkansas,South Region,West South Central Division
G05119,2015,Jan,35853.22581,247.7419355,10.12903226,-1.983870968,543.2258065,75,Pulaski,Arkansas,South Region,West South Central Division
G05121,2015,Jan,35385.03226,248.8774194,7.387096774,-4.258064516,467.0967742,127,Randolph,Arkansas,South Region,West South Central Division
G05123,2015,Jan,35764.06452,248.1548387,8.612903226,-1.85483871,558.7096774,57,St. Francis,Arkansas,South Region,West South Central Division
G05125,2015,Jan,35875.48387,251.5612903,10.17741935,-2.370967742,530.3225806,82,Saline,Arkansas,South Region,West South Central Division
G05127,2015,Jan,35808.6129,258.4774194,9.306451613,-3.451612903,494.1935484,91,Scott,Arkansas,South Region,West South Central Division
G05129,2015,Jan,35496.51613,258.1677419,8.870967742,-4.225806452,474.8387097,80,Searcy,Arkansas,South Region,West South Central Division
G05131,2015,Jan,35697.19355,253.2129032,10.03225806,-3.048387097,509.6774194,69,Sebastian,Arkansas,South Region,West South Central Division
G05133,2015,Jan,36042.70968,254.5548387,11.46774194,-1.887096774,548.3870968,110,Sevier,Arkansas,South Region,West South Central Division
G05135,2015,Jan,35418.48387,250.116129,7.564516129,-4.758064516,452.9032258,119,Sharp,Arkansas,South Region,West South Central Division
G05137,2015,Jan,35530,233.083871,8.241935484,-4.258064516,468.3870968,107,Stone,Arkansas,South Region,West South Central Division
G05139,2015,Jan,36288.03226,264.8774194,11.80645161,-1.338709677,565.1612903,142,Union,Arkansas,South Region,West South Central Division
G05141,2015,Jan,35608.03226,258.5806452,8.935483871,-3.629032258,489.0322581,117,Van Buren,Arkansas,South Region,West South Central Division
G05143,2015,Jan,35485.3871,258.9935484,8.209677419,-3.612903226,492.9032258,31,Washington,Arkansas,South Region,West South Central Division
G05145,2015,Jan,35697.19355,251.0451613,8.919354839,-2.838709677,514.8387097,80,White,Arkansas,South Region,West South Central Division
G05147,2015,Jan,35697.19355,250.9419355,8.435483871,-2.241935484,540.6451613,54,Woodruff,Arkansas,South Region,West South Central Division
G05149,2015,Jan,35764.06452,255.7935484,9.435483871,-3.048387097,505.8064516,128,Yell,Arkansas,South Region,West South Central Division
G06001,2015,Jan,34983.54839,230.916129,16.48387097,6.048387097,947.0967742,0,Alameda,California,West Region,Pacific Division
G06003,2015,Jan,34693.77419,309.5741935,7.290322581,-3.435483871,483.8709677,7,Alpine,California,West Region,Pacific Division
G06005,2015,Jan,34738.35484,245.9870968,15.58064516,6.048387097,956.1290323,0,Amador,California,West Region,Pacific Division
G06007,2015,Jan,34359.32258,219.8709677,16.40322581,5.338709677,901.9354839,3,Butte,California,West Region,Pacific Division
G06009,2015,Jan,34816.3871,237.8322581,15.46774194,5.112903226,891.6129032,0,Calaveras,California,West Region,Pacific Division
G06011,2015,Jan,34515.3871,218.8387097,17.12903226,5.096774194,886.4516129,5,Colusa,California,West Region,Pacific Division
G06013,2015,Jan,34916.70968,201.9096774,15.35483871,6.5,983.2258065,0,Contra Costa,California,West Region,Pacific Division
G06015,2015,Jan,33645.80645,191.1741935,13.4516129,5.935483871,940.6451613,88,Del Norte,California,West Region,Pacific Division
G06017,2015,Jan,34626.87097,270.3483871,13.51612903,3.048387097,770.3225806,2,El Dorado,California,West Region,Pacific Division
G06019,2015,Jan,35262.35484,231.0193548,14.53225806,4.419354839,845.1612903,6,Fresno,California,West Region,Pacific Division
G06021,2015,Jan,34370.45161,218.8387097,17.53225806,4.548387097,855.483871,1,Glenn,California,West Region,Pacific Division
G06023,2015,Jan,33991.48387,189.0064516,15.24193548,5.435483871,907.0967742,70,Humboldt,California,West Region,Pacific Division
G06025,2015,Jan,36321.45161,284.283871,22.70967742,7.774193548,415.483871,2,Imperial,California,West Region,Pacific Division
G06027,2015,Jan,35340.41935,253.0064516,14.5,2.338709677,325.1612903,9,Inyo,California,West Region,Pacific Division
G06029,2015,Jan,35686.06452,264.3612903,15.96774194,4.725806452,766.4516129,15,Kern,California,West Region,Pacific Division
G06031,2015,Jan,35463.09677,240.7225806,14.17741935,3.5,726.4516129,4,Kings,California,West Region,Pacific Division
G06033,2015,Jan,34526.51613,222.1419355,15.79032258,6.306451613,970.3225806,12,Lake,California,West Region,Pacific Division
G06035,2015,Jan,34024.93548,292.8516129,8.451612903,-2.548387097,518.7096774,2,Lassen,California,West Region,Pacific Division
G06037,2015,Jan,35964.64516,272.8258065,15.67741935,7.129032258,935.483871,54,Los Angeles,California,West Region,Pacific Division
G06039,2015,Jan,35128.51613,236.8,15.64516129,4.338709677,845.1612903,5,Madera,California,West Region,Pacific Division
G06041,2015,Jan,34872.09677,224.1032258,17.32258065,6.725806452,996.1290323,0,Marin,California,West Region,Pacific Division
G06043,2015,Jan,35039.29032,250.5290323,14.88709677,3.903225806,820.6451613,7,Mariposa,California,West Region,Pacific Division
G06045,2015,Jan,34426.19355,211.3032258,15.80645161,4.887096774,877.4193548,38,Mendocino,California,West Region,Pacific Division
G06047,2015,Jan,35128.51613,227.3032258,13.96774194,3.709677419,810.3225806,0,Merced,California,West Region,Pacific Division
G06049,2015,Jan,33712.74194,228.3354839,9.983870968,-1.790322581,544.516129,7,Modoc,California,West Region,Pacific Division
G06051,2015,Jan,34883.25806,275.4064516,10.59677419,-6.129032258,381.9354839,2,Mono,California,West Region,Pacific Division
G06053,2015,Jan,35418.48387,250.2193548,19.30645161,4.612903226,861.9354839,2,Monterey,California,West Region,Pacific Division
G06055,2015,Jan,34716.06452,236.1806452,16.06451613,4.532258065,856.7741935,0,Napa,California,West Region,Pacific Division
G06057,2015,Jan,34481.90323,246.0903226,13.75806452,3.709677419,803.8709677,3,Nevada,California,West Region,Pacific Division
G06059,2015,Jan,36131.90323,251.8709677,22.53225806,10.90322581,1134.193548,29,Orange,California,West Region,Pacific Division
G06061,2015,Jan,34548.80645,235.5612903,15.08064516,4.548387097,863.2258065,0,Placer,California,West Region,Pacific Division
G06063,2015,Jan,34247.87097,247.5354839,10.59677419,-1.290322581,569.0322581,2,Plumas,California,West Region,Pacific Division
G06065,2015,Jan,36109.6129,282.2193548,17.06451613,3.564516129,360,30,Riverside,California,West Region,Pacific Division
G06067,2015,Jan,34738.35484,222.7612903,15.58064516,4.693548387,868.3870968,0,Sacramento,California,West Region,Pacific Division
